"Player,Nation,Pos,Squad,League,Age,Min,Gls_90,Ast_90,GA_90,Sh_90,SoT_90,SoT_pct,G_per_Sh,Salah_Score,Salah_Euclidean,KDB_Score,KDB_Euclidean,Outlier_Count,Is_Outlier,PC1,PC2,Cluster,Cluster_Label,Salah_Cosine,KDB_Cosine,Salah_Euc_Sim,KDB_Euc_Sim,Market_Value_M"
"Abu Kamara,eng ENG,FW,Hull City,EFL Championship,21.0,2256,0.1995,0.1197,0.3191,1.4362,0.5585,38.89,0.1389,0.459,5.002253169056629,0.2825,6.629785532877261,0,False,0.6242490611740062,-0.3542348716181803,0,Active Forward,0.6538684559453821,0.3834343745351034,0.1666041021320614,0.1310652829874355,"
"Adam Randell,eng ENG,MF,Plymouth Argyle,EFL Championship,23.0,3378,0.0266,0.0799,0.1066,0.7993,0.1865,23.33,0.0333,-0.417,7.4077330168328785,-0.3051,8.394897981712534,0,False,-2.1395926454499468,0.2757086060582904,1,Low Volume Player,-0.7742475663509145,-0.579528433574652,0.1189381249378315,0.1064407513467981,"
"Aidan Morris,us USA,MF,Middlesbrough,EFL Championship,22.0,2915,0.0,0.0617,0.0617,0.9262,0.1235,13.33,0.0,-0.419,8.116995888806116,-0.2975,8.965907744734213,0,False,-2.828641911351898,0.6543709339386788,1,Low Volume Player,-0.7715206203418612,-0.5627444948451044,0.1096852529272064,0.1003420888105632,"
"Alan Varela,ar ARG,MF,Porto,Primeira Liga,23.0,2198,0.0,0.0819,0.0819,0.6142,0.2047,33.33,0.0,-0.4022,7.639024874610372,-0.2613,8.482814882559342,0,False,-2.202286061960365,0.180173243499776,1,Low Volume Player,-0.7474392488136936,-0.5058280713577252,0.115753804915986,0.1054539197890687,"
"Alejandro Marqués,ve VEN,FW,Estoril,Primeira Liga,23.0,1692,0.5851,0.0,0.5851,1.9149,0.7979,41.67,0.3056,0.4189,4.773059229066951,0.1383,7.76572124095781,2,True,3.443031106577624,-2.513101101178989,3,Elite Attacker,0.5826525854461304,0.1544860930376856,0.173218385663717,0.1140807439013121,"
"Alex Matos,eng ENG,FW,Oxford United,EFL Championship,19.0,933,0.0,0.0,0.0,0.1929,0.0,0.0,0.0,-0.409,9.288613943824668,-0.3509,10.284489137826336,1,True,-3.98961989281607,0.3032279821361091,1,Low Volume Player,-0.7464376197022791,-0.6439224259492282,0.0971948219128399,0.0886172149918542,"
"Alex Robertson,au AUS,MF,Cardiff City,EFL Championship,21.0,2409,0.1121,0.1121,0.2242,0.6725,0.2615,38.89,0.1667,0.0407,5.955544746148631,-0.0799,7.571354314168351,0,False,-0.4155039936418428,-0.811579321955543,0,Active Forward,-0.0280114150504497,-0.2109977960777742,0.1437701914797848,0.1166676773992426,"
"Alonzo Engwanda,be BEL,MF,Utrecht,Eredivisie,21.0,1270,0.0,0.0,0.0,0.3543,0.0,0.0,0.0,-0.4122,9.236035482015565,-0.3509,10.222511411929991,1,True,-3.913046407324701,0.3415637059473871,1,Low Volume Player,-0.7520869744924876,-0.6441856754299531,0.0976940732334283,0.089106614668884,"
"Amadou Dante,ml MLI,MF,Arouca,Primeira Liga,23.0,1059,0.0,0.0,0.0,0.5099,0.17,33.33,0.0,-0.492,8.336584421505794,-0.4077,9.353517677163053,0,False,-2.660841548155008,-0.5929013622578311,1,Low Volume Player,-0.8913673461435474,-0.7439060126816348,0.1071055489731994,0.0965855307520958,"
"Amine El Ouazzani,ma MAR,FW,Braga,Primeira Liga,23.0,1604,0.3928,0.0561,0.4489,2.1322,1.1783,55.26,0.1842,0.4209,4.561201915358024,0.2508,6.6656685603913655,0,False,3.061699845632069,-1.5144715521179244,3,Elite Attacker,0.5815669909123011,0.3309876541495089,0.1798172436858231,0.1304517658338395,"
"Amine Lachkar,nl NED,MF,Willem II,Eredivisie,21.0,1741,0.0,0.0,0.0,0.6203,0.2068,33.33,0.0,-0.5,8.27794889809229,-0.4094,9.282699240131812,0,False,-2.566342006060363,-0.5644964090369734,1,Low Volume Player,-0.9052461016844592,-0.7472017388240091,0.1077824431869437,0.0972507292732196,"
"Andre Brooks,jm JAM,MF,Sheffield United,EFL Championship,20.0,951,0.2839,0.1893,0.4732,1.9874,0.8517,42.86,0.1429,0.6479,3.61768558739744,0.5567,5.285465310642631,0,False,2.098794379271444,0.2863751105100886,2,Creative Playmaker,0.93540659433702,0.8217150484428688,0.2165587026386539,0.1590972108790079,0.8"
"Andrew Moran,ie IRL,MF,Stoke City,EFL Championship,20.0,2357,0.1527,0.1146,0.2673,1.0692,0.3055,28.57,0.1429,0.0756,5.698658778472481,-0.0605,7.269605078209464,0,False,-0.3833678788610754,-0.2268449958467359,0,Active Forward,0.0264005513093119,-0.1815179805814772,0.1492836152833618,0.120924758866057,"
"André Inácio,br BRA,MF,Rio Ave,Primeira Liga,22.0,1178,0.0764,0.0764,0.1528,2.0628,0.5348,25.93,0.037,-0.3544,6.647014734015217,-0.1634,7.565897538706345,0,False,-0.8108384981885138,0.4640867700221007,1,Low Volume Player,-0.6778233613742084,-0.3502380520154702,0.1307699847303589,0.1167419987784518,"
"André Lacximicant,pt POR,FW,Estoril,Primeira Liga,23.0,993,0.4532,0.2719,0.7251,2.9909,1.3595,45.45,0.1515,0.6671,2.337755294357837,0.5856,3.939496675531023,0,False,4.502883851925364,1.1770176340793652,3,Elite Attacker,0.9120310247474958,0.8409569246815323,0.2996025507593101,0.2024497769081896,1.8"
"Anis Ben Slimane,tn TUN,MF,Norwich City,EFL Championship,23.0,2091,0.0861,0.0861,0.1722,0.8178,0.2582,31.58,0.1053,-0.2839,6.504718103791681,-0.3033,7.859776009381393,0,False,-1.1195183490117526,-0.3858852713319931,1,Low Volume Player,-0.5619589001905219,-0.5808028732308128,0.133249508665057,0.1128696706261112,"
"Anis Hadj Moussa,dz ALG,FW,Feyenoord,Eredivisie,22.0,1969,0.3657,0.1371,0.5028,2.4225,0.9142,37.74,0.1509,0.5988,3.7007780433234334,0.4533,5.642297573423637,0,False,2.443093343200783,0.0164983844653595,2,Creative Playmaker,0.8562194324348691,0.6550726334873496,0.2127307417588692,0.1505503162040014,2.5"
"Anis Mehmeti,al ALB,FW,Bristol City,EFL Championship,23.0,2558,0.4222,0.0352,0.4574,3.0258,1.1259,37.21,0.1395,0.3866,4.758458882631589,0.2447,6.651401392949205,0,False,2.725215392727093,-0.6624751765704905,3,Elite Attacker,0.528592064960239,0.3207756988458776,0.1736575740804811,0.1306950124092958,"
"Anouar El Azzouzi,nl NED,MF,Zwolle,Eredivisie,23.0,2876,0.0313,0.0,0.0313,1.1266,0.1565,13.89,0.0278,-0.4785,8.198092682933433,-0.4122,9.282107121669489,0,False,-2.661412282927869,-0.0613192248703542,1,Low Volume Player,-0.870028941283016,-0.7518639001922027,0.108718191311058,0.0972563296770664,"
