"Player,Squad,League,Age,Pos,Gls_90,Ast_90,Sh_90,Similarity_Score,Market_Value_M,VES,Arbitrage_M,Cost_per_Goal_M,Decision_Score,Recommendation,Benchmark"
"Oliver Antman,Go Ahead Eagles,Eredivisie,22.0,MF,0.2241,0.5602,2.0166,0.6763,1.8,0.3757,16.2,0.085,0.7587,STRONG BUY,Kevin De Bruyne"
"Ismael Saibari,PSV,Eredivisie,23.0,MF,0.5556,0.5556,4.2424,0.6634,7.0,0.0948,11.0,0.332,0.6706,MONITOR,Kevin De Bruyne"
"Anthony Musaba,Sheffield Weds,EFL Championship,23.0,FW,0.2033,0.4066,2.1687,0.6701,2.0,0.335,16.0,0.129,0.669,STRONG BUY,Kevin De Bruyne"
"Ben Gannon-Doak,Middlesbrough,EFL Championship,18.0,MF,0.1519,0.3543,1.4173,0.5998,0.8,0.7497,17.2,0.059,0.5066,MONITOR,Kevin De Bruyne"
"Karamoko Dembélé,QPR,EFL Championship,21.0,MF,0.2277,0.3035,1.6695,0.6332,2.8,0.2261,15.2,0.243,0.4413,BUY,Kevin De Bruyne"
"Orkun Kökçü,Benfica,Primeira Liga,23.0,MF,0.2393,0.2393,2.1193,0.653,22.0,0.0297,0.0,2.418,0.4324,MONITOR,Kevin De Bruyne"
"Ruben van Bommel,AZ Alkmaar,Eredivisie,19.0,FW,0.1811,0.3018,2.7767,0.6361,4.0,0.159,14.0,0.348,0.4134,BUY,Kevin De Bruyne"
"Finn Azaz,Middlesbrough,EFL Championship,23.0,MF,0.3047,0.2793,3.1236,0.6236,2.8,0.2227,15.2,0.264,0.4116,BUY,Kevin De Bruyne"
"Ismaël Gharbi,Braga,Primeira Liga,20.0,MF,0.3403,0.2552,2.4669,0.6099,2.0,0.305,16.0,0.206,0.3889,BUY,Kevin De Bruyne"
"Richonell Margaret,RKC Waalwijk,Eredivisie,23.0,FW,0.1789,0.2505,1.6819,0.5953,1.2,0.4961,16.8,0.126,0.3611,MONITOR,Kevin De Bruyne"
"Rocco Vata,Watford,EFL Championship,19.0,FW,0.1758,0.2344,2.5195,0.5846,1.0,0.5846,17.0,0.112,0.3461,MONITOR,Kevin De Bruyne"
"André Lacximicant,Estoril,Primeira Liga,23.0,FW,0.4532,0.2719,2.9909,0.5856,1.8,0.3253,16.2,0.175,0.3248,MONITOR,Kevin De Bruyne"
"Daan Rots,Twente,Eredivisie,23.0,MF,0.1243,0.2485,1.9466,0.6095,2.5,0.2438,15.5,0.266,0.3034,BUY,Kevin De Bruyne"
"Kaio César,Vitória Guimarães,Primeira Liga,20.0,FW,0.1386,0.2079,2.0785,0.5949,1.5,0.3966,16.5,0.19,0.2962,MONITOR,Kevin De Bruyne"
"Kristian Nökkvi Hlynsson,Sparta Rotterdam,Eredivisie,20.0,MF,0.1486,0.223,2.0066,0.6053,3.5,0.1729,14.5,0.412,0.2551,BUY,Kevin De Bruyne"
"Dylan Mbayo,Zwolle,Eredivisie,22.0,FW,0.1711,0.2994,1.2833,0.5705,1.2,0.4754,16.8,0.105,0.2545,MONITOR,Kevin De Bruyne"
"Lyle Foster,Burnley,EFL Championship,23.0,FW,0.1132,0.283,2.2075,0.6093,8.0,0.0762,10.0,0.741,0.2388,PASS,Kevin De Bruyne"
"Emilio Kehrer,Willem II,Eredivisie,22.0,FW,0.0919,0.2758,1.9305,0.568,1.8,0.3156,16.2,0.171,0.1501,MONITOR,Kevin De Bruyne"
"Wilfried Gnonto,Leeds United,EFL Championship,20.0,MF,0.3559,0.2373,3.2821,0.5747,12.0,0.0479,6.0,1.333,0.1269,PASS,Kevin De Bruyne"
"Brian Brobbey,Ajax,Eredivisie,22.0,FW,0.2315,0.1736,2.373,0.5622,18.0,0.0312,0.0,2.727,0.016,PASS,Kevin De Bruyne"
"Rodrigo Mora,Porto,Primeira Liga,17.0,FW,0.6569,0.2628,2.8905,0.7013,2.5,0.2805,12.5,0.1,0.7416,STRONG BUY,Mo Salah"
"Jakob Breum,Go Ahead Eagles,Eredivisie,20.0,MF,0.4371,0.2186,2.5352,0.688,1.2,0.5733,13.8,0.072,0.7139,STRONG BUY,Mo Salah"
"Andre Brooks,Sheffield United,EFL Championship,20.0,MF,0.2839,0.1893,1.9874,0.6479,0.8,0.8099,14.2,0.074,0.558,BUY,Mo Salah"
"André Lacximicant,Estoril,Primeira Liga,23.0,FW,0.4532,0.2719,2.9909,0.6671,1.8,0.3706,13.2,0.105,0.5545,STRONG BUY,Mo Salah"
"Ismaël Gharbi,Braga,Primeira Liga,20.0,MF,0.3403,0.2552,2.4669,0.6753,2.0,0.3376,13.0,0.155,0.5444,STRONG BUY,Mo Salah"
"Marcos Vinicios Sorriso,Famalicão,Primeira Liga,23.0,MF,0.3564,0.1782,2.3168,0.6495,1.2,0.5412,13.8,0.089,0.4801,BUY,Mo Salah"
"Sontje Hansen,NEC Nijmegen,Eredivisie,22.0,FW,0.2885,0.1923,1.7788,0.6659,2.2,0.3027,12.8,0.2,0.4525,STRONG BUY,Mo Salah"
"Sem Steijn,Twente,Eredivisie,22.0,MF,0.782,0.2281,3.0304,0.64,3.5,0.1829,11.5,0.118,0.4327,BUY,Mo Salah"
"Kenneth Taylor,Ajax,Eredivisie,22.0,FW,0.331,0.2207,1.7654,0.6748,14.0,0.0482,1.0,1.111,0.4182,MONITOR,Mo Salah"
"Filip Krastev,Zwolle,Eredivisie,22.0,FW,0.2484,0.1656,1.9043,0.6467,1.3,0.4975,13.7,0.138,0.4151,BUY,Mo Salah"
"Henrique Araújo,Arouca,Primeira Liga,22.0,FW,0.4878,0.1626,2.1138,0.6315,1.8,0.3508,13.2,0.097,0.3529,BUY,Mo Salah"
"Ismael Saibari,PSV,Eredivisie,23.0,MF,0.5556,0.5556,4.2424,0.624,7.0,0.0891,8.0,0.332,0.3481,PASS,Mo Salah"
"Karamoko Dembélé,QPR,EFL Championship,21.0,MF,0.2277,0.3035,1.6695,0.6424,2.8,0.2294,12.2,0.322,0.3249,BUY,Mo Salah"
"Telmo Arcanjo,Vitória Guimarães,Primeira Liga,23.0,FW,0.3409,0.1364,2.0455,0.6184,1.2,0.5153,13.8,0.092,0.3029,BUY,Mo Salah"
